model_name,condition,n_examples,execution_accuracy,executable_query_rate,exact_match_accuracy,median_generation_latency_sec,mean_generation_latency_sec,p95_generation_latency_sec,mean_prompt_input_chars,mean_schema_context_chars,mean_schema_compression_ratio,gold_table_recall,gold_column_recall,pruning_failure_rate,mean_model_load_gpu_reserved_delta_mb,mean_runtime_gpu_peak_delta_mb,mean_runtime_cpu_delta_mb,repair_attempt_rate,mean_repair_latency_sec
Gemma-4-E2B-it,A,876,0.3744292237442922,0.8858447488584474,0.06735159817351598,7.274826024500726,8.306042857928071,17.363297237249753,838.5901826484019,578.384703196347,1.0,1.0,0.8310502283105022,0.0,6146.0,0.13200148491010275,-0.027771832191780824,0.0,0.0
Gemma-4-E2B-it,B,875,0.3577142857142857,0.8788571428571429,0.06857142857142857,7.15014737599995,8.336798332234402,18.386016260599895,754.104,493.9942857142857,0.8905136839206959,0.9748571428571429,0.8217142857142857,0.18628571428571428,6146.0,0.0,0.014816964285714286,0.0,0.0
Gemma-4-E2B-it,C,874,0.4096109839816934,0.8993135011441648,0.07208237986270023,7.423484256995835,8.794775618031013,24.91824299314931,1464.4542334096109,1204.3844393592678,2.19562301042261,0.9759725400457666,0.8226544622425629,0.1853546910755149,6146.0,0.3487601902173913,0.021377109553775742,0.0,0.0
Gemma-4-E2B-it,D,874,0.4302059496567506,0.9576659038901602,0.07208237986270023,7.44851302099778,8.798374897668328,24.573987801852383,1464.4542334096109,1204.3844393592678,2.19562301042261,0.9759725400457666,0.8226544622425629,0.1853546910755149,6146.0,0.0008827052345537757,0.017984839816933638,0.10068649885583524,0.9458437903695881
Gemma-4-E4B-it,A,875,0.4685714285714286,0.928,0.11657142857142858,7.609296331000223,8.016373006342835,15.804267364699808,837.0251428571429,576.9154285714286,1.0,1.0,0.8308571428571428,0.0,8620.0,0.10575558035714286,-0.00013392857142857144,0.0,0.0
Gemma-4-E4B-it,B,875,0.45714285714285713,0.9222857142857143,0.11085714285714286,7.630313795001712,7.943466236955405,15.328134059699721,754.104,493.9942857142857,0.8905136839206959,0.9748571428571429,0.8217142857142857,0.18628571428571428,8620.0,0.0,0.00011160714285714285,0.0,0.0
Gemma-4-E4B-it,C,875,0.45257142857142857,0.9142857142857143,0.11085714285714286,8.275528477999615,8.813665902225098,16.3992583521016,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,8620.0,0.181671875,0.00019642857142857144,0.0,0.0
Gemma-4-E4B-it,D,875,0.4742857142857143,0.9497142857142857,0.11085714285714286,8.27687130200502,8.820763307800084,16.607664240097435,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,8620.0,0.0038582589285714288,0.0002723214285714286,0.08571428571428572,1.152208607506273
Granite-3.3-2B-Instruct,A,876,0.21689497716894976,0.7796803652968036,0.02511415525114155,5.06116233900002,5.500739262654308,10.756717909251165,840.5079908675799,580.2089041095891,1.0,1.0,0.8310502283105022,0.0,1058.0,0.04578918735730594,0.0005796946347031963,0.0,0.0
Granite-3.3-2B-Instruct,B,876,0.21232876712328766,0.7728310502283106,0.026255707762557076,5.024278677001348,5.445091581486308,10.688959684004658,757.2134703196347,496.91438356164383,0.8903875757409406,0.9748858447488584,0.821917808219178,0.1860730593607306,1058.0,0.0,0.0002586329908675799,0.0,0.0
Granite-3.3-2B-Instruct,C,876,0.22602739726027396,0.7922374429223744,0.0365296803652968,5.390711212500264,5.935566936486303,11.844116354000562,1466.453196347032,1206.2477168949772,2.1947955953964784,0.9748858447488584,0.821917808219178,0.1860730593607306,1058.0,0.3682426557148973,0.0003210616438356164,0.0,0.0
Granite-3.3-2B-Instruct,D,876,0.2328767123287671,0.83675799086758,0.03767123287671233,5.406692126004145,5.941498782509196,11.877112579247978,1466.453196347032,1206.2477168949772,2.1947955953964784,0.9748858447488584,0.821917808219178,0.1860730593607306,1058.0,0.07341609589041095,0.0004191638127853881,0.20776255707762556,1.9634307808184819
Llama-3.2-1B-Instruct,A,876,0.12557077625570776,0.571917808219178,0.05365296803652968,1.8158600159986236,1.9504123715090014,4.034410220501741,838.5901826484019,578.384703196347,1.0,1.0,0.8310502283105022,0.0,664.0,0.02618101633847032,8.02654109589041e-05,0.0,0.0
Llama-3.2-1B-Instruct,B,876,0.11986301369863013,0.5627853881278538,0.05707762557077625,1.7263723094984016,1.8922868614328314,4.184946309247607,755.5296803652968,495.324200913242,0.8905131220203613,0.9748858447488584,0.821917808219178,0.1860730593607306,664.0,0.0,1.3377568493150684e-05,0.0,0.0
Llama-3.2-1B-Instruct,C,875,0.11885714285714286,0.5017142857142857,0.05828571428571429,1.967084486001113,2.1116275210261244,4.28443279730418,1464.2697142857144,1204.105142857143,2.194019285032155,0.9748571428571429,0.8217142857142857,0.18628571428571428,664.0,0.20844587053571428,0.0,0.0,0.0
Llama-3.2-1B-Instruct,D,875,0.12571428571428572,0.5691428571428572,0.060571428571428575,1.9584469710025587,2.110137731191996,4.278329230898816,1464.2697142857144,1204.105142857143,2.194019285032155,0.9748571428571429,0.8217142857142857,0.18628571428571428,664.0,0.0,6.696428571428572e-05,0.4982857142857143,1.2886217982183277
Llama-3.2-3B-Instruct,A,875,0.248,0.7794285714285715,0.09828571428571428,3.1711081369940075,3.1006394060675935,5.449595398498056,837.0251428571429,576.9154285714286,1.0,1.0,0.8308571428571428,0.0,1814.0,0.057993303571428574,-7.589285714285714e-05,0.0,0.0
Llama-3.2-3B-Instruct,B,875,0.2502857142857143,0.7965714285714286,0.10285714285714286,2.9360239390007337,2.941848930955349,5.216876944103569,754.104,493.9942857142857,0.8905136839206959,0.9748571428571429,0.8217142857142857,0.18628571428571428,1814.0,0.0,4.910714285714286e-05,0.0,0.0
Llama-3.2-3B-Instruct,C,875,0.2651428571428571,0.8011428571428572,0.12914285714285714,3.208962859993335,3.4321366318743345,6.443243018902285,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,1814.0,0.13566796875,0.0,0.0,0.0
Llama-3.2-3B-Instruct,D,875,0.28,0.8617142857142858,0.12914285714285714,3.212477607994515,3.431132596775956,6.455716168096839,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,1814.0,0.0,0.0,0.19885714285714284,0.909409637109651
Phi-4-mini-instruct,A,875,0.2,0.9108571428571428,0.012571428571428572,3.567428417998599,3.941833601812441,6.759248720897442,839.944,579.6468571428571,1.0,1.0,0.8308571428571428,0.0,2558.0,0.05375446428571429,0.00096875,0.0,0.0
Phi-4-mini-instruct,B,875,0.19657142857142856,0.8982857142857142,0.012571428571428572,3.5078424800012726,3.7761449754354546,6.368227936599577,755.7794285714285,495.58628571428574,0.8903879941598132,0.9748571428571429,0.8217142857142857,0.18628571428571428,2558.0,0.0,0.0002544642857142857,0.0,0.0
Phi-4-mini-instruct,C,877,0.20752565564424175,0.8893956670467503,0.01596351197263398,4.218808512996475,4.408222977290744,7.640067669595009,1468.7388825541618,1208.4515393386546,2.194213174963343,0.9749144811858609,0.82212086659065,0.18586088939566706,2558.0,0.23632367089509693,3.563283922462942e-05,0.0,0.0
Phi-4-mini-instruct,D,874,0.2128146453089245,0.9164759725400458,0.016018306636155607,4.197605131001183,4.392547777552628,7.560379866002029,1461.995423340961,1201.891304347826,2.1946028163931346,0.9748283752860412,0.8215102974828375,0.18649885583524028,2558.0,0.0007765571367276888,0.0001877145308924485,0.10869565217391304,1.284262688578875
Qwen3-0.6B,A,875,0.07665903890160183,0.6685714285714286,0.06514285714285714,1.6977121889995033,3.950784553577115,20.39335757180006,838.9428571428572,578.7417142857142,1.0,1.0,0.8308571428571428,0.0,1044.0,0.0,9.375e-05,0.0,0.0
Qwen3-0.6B,B,875,0.08,0.6948571428571428,0.060571428571428575,1.6878565309998521,3.804881089763418,20.35262647320005,755.7874285714286,495.58628571428574,0.8903879941598132,0.9748571428571429,0.8217142857142857,0.18628571428571428,1044.0,0.0,-0.05166071428571429,0.0,0.0
Qwen3-0.6B,C,876,0.07077625570776255,0.6906392694063926,0.05251141552511415,1.652116377999846,3.5815736127557476,20.23716890275,1469.4052511415525,1209.079908675799,2.193894144100828,0.9748858447488584,0.821917808219178,0.1860730593607306,1044.0,0.0,0.00014715325342465753,0.0,0.0
Qwen3-0.6B,D,876,0.07077625570776255,0.702054794520548,0.05251141552511415,1.637342850499408,3.5786422851826636,20.25908540799969,1469.4052511415525,1209.079908675799,2.193894144100828,0.9748858447488584,0.821917808219178,0.1860730593607306,1044.0,0.0,4.459189497716895e-05,0.3093607305936073,2.097861793542236
Qwen3-1.7B,A,874,0.2494279176201373,0.8386727688787186,0.09267734553775744,2.694021975999931,3.4486403361441997,7.90901025524963,836.8318077803203,576.7482837528604,1.0,1.0,0.8306636155606407,0.0,2754.0,0.0,-9.385726544622425e-05,0.0,0.0
Qwen3-1.7B,B,874,0.2459954233409611,0.834096109839817,0.10068649885583524,2.56855307999831,3.38413474341753,7.310930197449307,753.9519450800915,493.86842105263156,0.8905767338769782,0.9748283752860412,0.8215102974828375,0.18649885583524028,2754.0,0.0,4.4693935926773455e-06,0.0,0.0
Qwen3-1.7B,C,874,0.2437070938215103,0.8352402745995423,0.10640732265446225,2.790398905499387,3.558200358424444,7.777189976549372,1464.2402745995423,1204.1567505720823,2.195500851980615,0.9748283752860412,0.8215102974828375,0.18649885583524028,2754.0,0.0,-0.0011262871853546911,0.0,0.0
Qwen3-1.7B,D,874,0.2471395881006865,0.8649885583524027,0.10640732265446225,2.793269608000628,3.5557237409530384,7.741137248000444,1464.2402745995423,1204.1567505720823,2.195500851980615,0.9748283752860412,0.8215102974828375,0.18649885583524028,2754.0,0.0,0.0,0.16475972540045766,0.9000642239141856
Qwen3-4B-Instruct-2507,A,875,0.3851428571428571,0.9611428571428572,0.08228571428571428,4.317066175004584,4.722475867359109,8.70314967700178,837.0251428571429,576.9154285714286,1.0,1.0,0.8308571428571428,0.0,2228.0,0.0641953125,0.0011294642857142857,0.0,0.0
Qwen3-4B-Instruct-2507,B,875,0.38285714285714284,0.9577142857142857,0.08571428571428572,4.299111908003397,4.573406497417043,8.128499062803167,754.104,493.9942857142857,0.8905136839206959,0.9748571428571429,0.8217142857142857,0.18628571428571428,2228.0,0.0,4.464285714285715e-06,0.0,0.0
Qwen3-4B-Instruct-2507,C,875,0.4034285714285714,0.9691428571428572,0.10171428571428572,5.153833467004006,5.474953468356597,10.131939663296361,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,2228.0,0.4875943080357143,0.0,0.0,0.0
Qwen3-4B-Instruct-2507,D,875,0.4057142857142857,0.9782857142857143,0.10171428571428572,5.165227819998108,5.47657618782523,10.120322846299675,1464.1485714285714,1204.038857142857,2.1953793470763183,0.9748571428571429,0.8217142857142857,0.18628571428571428,2228.0,0.0,-0.00017410714285714287,0.030857142857142857,0.22843419543770974
SmolLM3-3B,A,877,0.06499429874572406,0.3169897377423033,0.06157354618015964,21.70751027300139,17.183379031270242,23.260937395598734,840.1379703534777,579.8506271379704,1.0,1.0,0.8312428734321551,0.0,1590.0,0.050067479689281644,0.0008195553021664767,0.0,0.0
SmolLM3-3B,B,877,0.07753705815279362,0.34207525655644244,0.06271379703534778,21.694518401000096,16.649268091701234,23.187408497396973,756.9384264538198,496.6510832383124,0.8905125614014412,0.9749144811858609,0.82212086659065,0.18586088939566706,1590.0,0.0,0.0010110818129988597,0.0,0.0
SmolLM3-3B,C,875,0.045714285714285714,0.2342857142857143,0.05142857142857143,22.420648743001948,20.09642444810392,25.01968162889898,1467.2262857142857,1206.969142857143,2.192502526191519,0.9748571428571429,0.8217142857142857,0.18628571428571428,1590.0,0.2811975446428571,0.0013125,0.0,0.0
SmolLM3-3B,D,875,0.06742857142857143,0.32571428571428573,0.060571428571428575,22.4251391949947,20.101327377065285,24.909934975400027,1467.2262857142857,1206.969142857143,2.192502526191519,0.9748571428571429,0.8217142857142857,0.18628571428571428,1590.0,0.0,0.0010982142857142857,0.7657142857142857,16.275736661452505
